uimavesini,leva,nako,lampo
Pohjoisranta,28602,3063,1700
Kultakiven lomakylä,13807,3062,1664
Punkaharjun keskustan uimala,13807,3062,1664
Punkaharjun lomakeskus,13828,3062,1664
Emolahti,27358,3063,1672
Reijola,22270,3062,1660
Paksuniemi,22255,3062,1660
Kirkonkylä,9518,3455,1687
Olkkola,12954,3062,1667
Heikinpohja,14037,3062,1664
Karkulahti,13828,3062,1664
Koulukatu,14037,3062,1664
Vuohimäki,14037,3062,1664
Siilinlahden rantauimala,17557,3063,1661
Laajalahti,26663,3480,1696
Öja,26663,3480,1696
Lahdenperä,26663,3480,1696
Vanhansatamanlahti,26663,3480,1696
Aittolampi,22772,3062,1660
Molpe,5440,3842,1685
Äijänniemi,12808,3062,1667
Tampsan monttu,12808,3062,1673
Santalahti,12386,3062,1673
Sandbanken,66427,3842,1685
Uimala Kuhmoinen,24804,3157,1674
Pitkämö,4619,3842,1696
Nummijärvi,83074,3478,1694
Mukkulan kartanonpuisto,83066,3157,1674
Mytäjäinen,83066,3157,1674
Likolampi,83066,3157,1674
Merrasjärvi,83066,3157,1674
Möysä,83066,3157,1674
Herrasmanni,83066,3157,1674
"Pääjärvi, Juottimen ranta",2100,3157,1674
Untula,2100,3157,1674
Lappi,6360,3842,1685
Klockarholmen,59496,3842,1685
Hellestorpsjö,59496,3842,1685
Uimalaitos,23257,3062,1660
Rantakylä,30626,3157,1705
Vattaja,26663,3455,1696
Pappisten Isojärvi,7418,3475,1685
Plagen,83071,3063,1673
Viinavuori,30626,3157,1705
Åminne,5440,3842,1685
Möckelö Västra,59496,3842,1685
Lilla Holmen,59496,3842,1685
Gröna Udden,59496,3842,1685
Nabben,59496,3842,1685
Maskun Riviera,6757,3842,1685
Mellilan järvi,7418,3475,1685
Orijärvi,15078,3062,1673
Pankalampi,64179,3062,1667
Österhankmo,42159,3842,1696
Iskmo Simstrand,54580,3842,1696
Carpella,42159,3842,1696
Piiljärvi,41804,3478,1694
Nunnalahti,6757,3842,1685
Tjärlax,5399,3842,1685
Fagerö,5399,3842,1685
Villähteen-Kukkanen,307,3063,1674
Pajulahti,307,3063,1674
Kymijärvi,307,3157,1674
Kirkonkylä,307,3063,1674
Herunen,44054,3313,1674
Satama,42159,3842,1696
Kalliojärvi,83066,3157,1674
Salusjärvi,49434,3157,1674
Valkiaisjärvi,28685,3157,1705
Lämsänjärvi,30626,3157,1705
Nallikari,30626,3157,1705
Oinila,6949,3842,1685
Norrby,6949,3842,1685
"Harjulampi, Lapinneva",9830,3480,1694
"Vahojärvi, leirikeskus",4509,3478,1694
Naarjärvi,83074,3478,1685
Varvojärvi,41804,3478,1694
Petäjävesi,42853,3157,1674
Tahinlampi,14694,3063,1661
Lillsand,42159,3475,1696
Kittholmen,42159,3475,1696
Gumnäs,2988,3478,1694
Yyterin hiekkaranta,6582,3842,1685
Kirjurinluoto,6582,3842,1685
Kokonniemen maauimala,361,3157,1674
Huutjärvi,12386,3062,1673
Pikkulahti,30122,3157,1709
Olkijokisuu,30122,3157,1709
Otanlahti,6784,3842,1685
Bergströmin lampi,6784,3842,1685
Saharanta,6784,3842,1685
Meronen,13807,3062,1664
Ounaskoski,28685,3157,1705
Hietamaa,30626,3157,1705
Lehmijärvi,83074,3477,1685
Västerviken,59496,3842,1685
Kvarnboviken,59496,3842,1685
Sarapisto,43524,3842,1685
Kalajärven virkistysalue,4867,3480,1696
Kyrkösjärvi,4534,3480,1696
Sahalampi,4534,3480,1696
Maansydänjärvi,27019,3157,1696
Tauvo,30122,3157,1709
Pilvijärvi,842,3157,1674
Laamalansaari,12954,3062,1667
Tahmela,1812,3455,1694
"Tohloppi, uusi ranta",1812,3455,1694
Rauhaniemi,1812,3455,1694
Pyynikki,1812,3455,1694
Niemi,1812,3455,1694
Kaukajärvi uimala,1812,3455,1694
Hervantajärvi,1812,3455,1694
Särkijärvi Tikkala,22814,3062,1660
Satama,1812,3455,1694
Rusutjärvi,842,3313,1674
Apia,7833,3455,1694
Lokkisaari,23467,3062,1658
Kaalisaari,7418,3480,1694
Pororanta,7418,3480,1694
Alasenranta,7418,3480,1694
Tervakallio,7418,3480,1694
Vesaranta,7418,3480,1694
Kommila,15943,3062,1661
Haijanvirta,15943,3062,1661
Otalampi,41799,3313,1674
Varikkaa,1055,3455,1694
Kalettomanlahti,26134,3455,1687
Hamari,30122,3157,1696
Räikkä,58356,3455,1694
Aro,58356,3455,1694
Kuusela,1812,3455,1694
Siivikkala,1812,3455,1694
Hautala,14904,3062,1673
"Särkkien uimaranta, Lappalanjärvi",14904,3062,1673
"Saaren kansallispuisto, Kuivajärvi",2381,3455,1694
Heikkilä,25004,3157,1673
Ollila,25004,3157,1673
Ritoniemi,25004,3157,1673
Lapinsalmi,26169,3157,1687
Haveri,8815,3478,1694
Kurki,8815,3478,1694
Paijala,8815,3478,1694
Harrin uimala,4753,3455,1687
Kuortaneen Kirkkoranta,4753,3455,1696
Nummijärvi,83074,3478,1694
Salkolanjärvi,2483,3455,1694
Hiukka,30971,3062,1699
Prästö,59496,3842,1685
Suojärvi,25405,3063,1673
Jätkänpuisto,33811,3062,1699
Kaatron uimala,16150,3063,1661
Knipan,2998,3478,1685
Campingen,2998,3478,1685
Tesomajärvi Ristimäki,58356,3455,1694
Peltolammi uimala,1812,3455,1694
Alasjärvi,9518,3455,1694
Köökmannin uimaranta,26825,3157,1696
"Toivakka, kirkonkylä",24701,3063,1673
Kiviranta,30122,3157,1709
Uitonranta,30122,3157,1709
Saaronniemi,6735,3842,1685
Ekvalla,6949,3842,1685
Ispoinen,6949,3842,1685
"Suolijärvi, Kirkkoranta",42378,3313,1674
Pannujärvi,42378,3313,1674
Häklin lampi,842,3313,1674
"Urheilupuisto, Tuusula",842,3313,1674
Silokallion kurssikeskus,9634,3842,1685
Hietasaari,25941,3157,1674
Andra sjön,42159,3475,1696
Storsand,42159,3842,1696
Sahanranta,31230,3063,1700
Ahvensaari,5440,3842,1696
Hietasaari,5440,3842,1696
Kustaanlinna,5440,3842,1696
Mansikkasaari,5440,3842,1696
Paratiisisaari,5440,3842,1696
Hakalanranta,7833,3455,1694
Kuusjärvi,842,3313,1674
Hanhenkaula,15943,3062,1661
Myllylampi,1055,3455,1694
